Points:
46,83
20,81
54,30
87,86
21,22
62,16
99,22
39,56
18,17
45,35
26,4
85,74
46,44
51,47
51,69
34,69
42,64
31,8
10,97
33,60
25,52
37,79
95,79
78,89
26,27
19,9
31,2
18,61
27,58
75,90
94,91
44,39
86,60
13,43
1,32
21,81
25,36
44,87
98,69
45,63
43,45
62,2
88,30
63,88
58,39
72,78
94,60
12,82
15,82
44,68
34,74
35,25
93,21
52,60
21,48
65,93
37,53
66,90
39,1
27,32
67,53
45,56
43,2
27,93
74,66
22,66
37,38
65,48
44,44
54,40
46,82
40,51
36,72
39,38
30,61
0,17
13,0
16,85
80,36
94,94
42,63
91,58
2,58
51,90
27,4
21,42
72,62
70,81
86,56
90,24
50,42
88,8
41,31
38,30
48,97
31,39
1,33
88,48
42,80
2,96
Centroids:
5,65
49,43
96,93
40,9
68,91
74,75
0,46
73,61
99,97
52,56
